period,lau,name,registered_unemployed,registered_unemployed_females,disponible_unemployed,low_educated,long_term,unemployment_inflow,unemployment_outflow,below_25,over_55,vacancies,pop_period,TOTAL,Y15-64,Y15-64-females
2024-10-01,HU2215,Pannonhalmi Járás,126,65,,39,,,,15,53,,2023,15818,10461,4825
2024-10-01,HU2217,Téti Járás,130,75,,29,,,,11,58,,2023,15114,9976,4769
2024-10-01,HU2211,Csornai Járás,177,91,,49,,,,11,87,,2023,32035,20684,9890
2024-10-01,HU2225,Szentgotthárdi Járás,182,84,,38,,,,9,76,,2023,14170,9280,4397
2024-10-01,HU1106,Budapest 05. kerület,207,121,,32,,,,8,68,,2023,23494,16446,7901
2024-10-01,HU2213,Kapuvári Járás,212,106,,50,,,,26,96,,2023,23910,15386,7407
2024-10-01,HU2316,Pécsváradi Járás,232,107,,83,,,,27,73,,2023,10982,6738,3298
2024-10-01,HU1101,Budapest 01. kerület,247,138,,17,,,,13,76,,2023,24094,15163,7777
2024-10-01,HU2236,Zalaszentgróti Járás,263,147,,105,,,,33,106,,2023,14129,9005,4387
2024-10-01,HU110N,Budapest 23. kerület,264,144,,72,,,,16,109,,2023,22300,14988,7257
2024-10-01,HU2311,Bólyi Járás,278,131,,118,,,,39,86,,2023,11132,7086,3473
2024-10-01,HU2223,Kőszegi Járás,281,138,,76,,,,22,114,,2023,25684,17100,8348
2024-10-01,HU3121,Bélapátfalvai Járás,284,136,,112,,,,31,84,,2023,7893,4986,2403
2024-10-01,HU213A,Zirci Járás,311,146,,86,,,,37,116,,2023,18214,11851,5725
2024-10-01,HU3333,Kisteleki Járás,327,160,,110,,,,34,133,,2023,17198,10984,5280
2024-10-01,PL22C3,Powiat bieruńsko-lędziński,349,203,,65,54,,,59,57,85,2023,59443,39279,19471
2024-10-01,HU3331,Csongrádi Járás,351,181,,111,,,,44,135,,2023,20715,12805,6246
2024-10-01,PL4313,Powiat słubicki,354,191,,102,90,,,43,80,39,2023,45854,30839,15259
2024-10-01,PL6333,Powiat m.Sopot,359,187,,67,81,,,18,75,41,2023,31903,19092,9810
2024-10-01,HU331B,Tiszakécskei Járás,360,182,,109,,,,34,169,,2023,24126,15348,7469
2024-10-01,HU2133,Balatonfüredi Járás,363,184,,68,,,,30,144,,2023,25613,15790,7899
2024-10-01,HU120G,Szobi Járás,366,184,,72,,,,22,145,,2023,25297,16120,7724
2024-10-01,HU3319,Kiskunmajsai Járás,376,222,,144,,,,23,208,,2023,18719,12092,5858
2024-10-01,HU2227,Vasvári Járás,388,178,,183,,,,41,124,,2023,12879,8446,4018
2024-10-01,PL4178,Powiat wolsztyński,394,227,,96,89,,,85,52,109,2023,56672,36877,18175
2024-10-01,HU120C,Pilisvörösvári Járás,397,222,,46,,,,24,147,,2023,57431,36853,18506
2024-10-01,HU2122,Kisbéri Járás,400,208,,147,,,,59,111,,2023,19202,12618,6041
2024-10-01,HU2136,Sümegi Járás,406,210,,179,,,,42,129,,2023,14248,9360,4509
2024-10-01,HU2124,Oroszlányi Járás,409,209,,156,,,,43,126,,2023,25750,17191,8473
2024-10-01,HU3311,Bácsalmási Járás,412,203,,178,,,,34,202,,2023,17236,10715,5083
2024-10-01,PL7155,Powiat skierniewicki,425,243,,99,184,,,71,76,48,2023,37787,24302,11778
2024-10-01,HU2115,Martonvásári Járás,426,215,,185,,,,44,136,,2023,28059,18825,8829
2024-10-01,HU2114,Gárdonyi Járás,428,217,,77,,,,40,147,,2023,37434,23507,11629
2024-10-01,HU2221,Celldömölki Járás,430,238,,126,,,,54,136,,2023,22671,14588,7172
2024-10-01,PL4315,Powiat sulęciński,442,234,,125,95,,,60,80,24,2023,33495,21991,10611
2024-10-01,HU110C,Budapest 12. kerület,443,257,,30,,,,10,129,,2023,55395,32627,17207
2024-10-01,SK0223,Myjava,450,199,412,60,88,77,85,70,57,299,2023,25013,16002,7767
2024-10-01,HU3335,Mórahalmi Járás,457,242,,130,,,,60,163,,2023,28087,17952,8637
2024-10-01,HU3313,Jánoshalmai Járás,458,222,,200,,,,47,176,,2023,15267,9758,4641
2024-10-01,HU1107,Budapest 06. kerület,459,253,,103,,,,21,153,,2023,34834,25878,12938
2024-10-01,HU2233,Letenyei Járás,470,215,,244,,,,56,184,,2023,14467,9271,4452
2024-10-01,HU2222,Körmendi Járás,476,231,,125,,,,58,160,,2023,24860,16073,7755
2024-10-01,HU2328,Tabi Járás,487,250,,214,,,,67,166,,2023,11668,7364,3517
2024-10-01,PL22A6,Powiat m.Świętochłowice,488,304,,172,135,,,58,74,907,2023,45434,29489,14731
2024-10-01,HU2336,Tolnai Járás,489,262,,211,,,,68,133,,2023,17355,10827,5326
2024-10-01,SK0319,Turčianske Teplice,493,220,452,106,204,53,53,73,94,236,2023,15753,10288,5017
2024-10-01,HU3328,Szarvasi Járás,499,239,,131,,,,66,159,,2023,24677,15413,7513
2024-10-01,SK0424,Košice III,500,254,461,55,126,66,65,54,69,38,2023,27551,16994,8529
2024-10-01,HU2116,Móri Járás,507,261,,158,,,,48,171,,2023,33633,21930,10736
2024-10-01,PL6385,Powiat sztumski,509,334,,141,92,,,96,67,12,2023,38341,25410,12364
2024-10-01,HU2232,Lenti Járás,509,243,,161,,,,49,190,,2023,17834,11146,5276
2024-10-01,HU2132,Balatonalmádi Járás,514,281,,74,,,,39,212,,2023,27023,16734,8144
2024-10-01,HU2123,Komáromi Járás,515,271,,143,,,,47,186,,2023,39232,25905,12418
2024-10-01,PL6235,Powiat gołdapski,517,291,,183,144,,,75,95,6,2023,24860,16410,7976
2024-10-01,HU2331,Bonyhádi Járás,520,269,,154,,,,60,136,,2023,28086,17830,8634
2024-10-01,SK0322,Banská Štiavnica,524,265,449,110,225,62,53,62,118,56,2023,15407,10183,5043
2024-10-01,PL4163,Powiat kępiński,526,313,,97,180,,,103,97,148,2023,55924,37012,18095
2024-10-01,HU120I,Vecsési Járás,527,300,,134,,,,38,167,,2023,50489,33553,16671
2024-10-01,PL4287,Powiat m.Świnoujście,533,238,,177,162,,,43,126,195,2023,38904,24469,12272
2024-10-01,PL4262,Powiat kołobrzeski,534,273,,107,91,,,67,90,224,2023,76721,49175,24910
2024-10-01,HU110M,Budapest 22. kerület,536,309,,101,,,,27,183,,2023,56561,35800,18019
2024-10-01,HU2111,Bicskei Járás,544,263,,179,,,,43,209,,2023,36008,23753,11544
2024-10-01,PL9252,Powiat łosicki,548,253,,155,180,,,112,60,193,2023,28628,18032,8541
2024-10-01,PL7154,Powiat rawski,553,288,,133,169,,,81,88,165,2023,46082,29333,14374
2024-10-01,PL8435,Powiat suwalski,559,268,,164,200,,,75,99,18,2023,34635,22823,10738
2024-10-01,HU2113,Enyingi Járás,570,307,,314,,,,74,209,,2023,19547,12936,6135
2024-10-01,HU2134,Devecseri Járás,574,283,,311,,,,75,175,,2023,14063,9160,4269
2024-10-01,HU2319,Szentlőrinci Járás,576,292,,243,,,,75,162,,2023,13825,9048,4406
2024-10-01,HU3337,Szentesi Járás,577,290,,129,,,,65,201,,2023,36458,22922,11219
2024-10-01,HU2126,Tatai Járás,582,303,,130,,,,63,167,,2023,39903,26003,12508
2024-10-01,HU1108,Budapest 07. kerület,588,330,,132,,,,29,164,,2023,49323,37118,18664
2024-10-01,PL4174,Powiat leszczyński,595,364,,130,163,,,122,86,116,2023,60017,39555,19473
2024-10-01,HU2224,Sárvári Járás,597,296,,139,,,,58,215,,2023,38269,24873,12294
2024-10-01,SK0221,Bánovce nad Bebravou,610,338,500,86,151,99,119,93,118,425,2023,35186,23220,11326
2024-10-01,PL4175,Powiat międzychodzki,611,368,,188,145,,,133,75,17,2023,35593,22959,11210
2024-10-01,PL6236,Powiat węgorzewski,611,275,,181,179,,,71,129,8,2023,20804,13376,6389
2024-10-01,HU2216,Soproni Járás,624,296,,118,,,,49,220,,2023,102528,67884,33426
2024-10-01,PL6225,Powiat nidzicki,624,320,,224,177,,,98,110,50,2023,30460,20259,9750
2024-10-01,HU2312,Hegyháti Járás,633,319,,362,,,,74,189,,2023,11092,7102,3386
2024-10-01,PL4323,Powiat świebodziński,635,340,,178,124,,,93,94,198,2023,53961,34988,17193
2024-10-01,PL4181,Powiat obornicki,641,351,,181,119,,,109,110,29,2023,58812,38427,18819
2024-10-01,PL4185,Powiat śremski,644,386,,158,137,,,114,90,70,2023,61044,39861,19815
2024-10-01,HU2138,Várpalotai Járás,644,310,,240,,,,57,244,,2023,35957,23285,11242
2024-10-01,HU110H,Budapest 16. kerület,658,385,,107,,,,32,225,,2023,72154,45139,23264
2024-10-01,SK0213,Hlohovec,662,376,600,99,84,123,140,105,98,1875,2023,43197,28393,13795
2024-10-01,HU1102,Budapest 02. kerület,666,396,,30,,,,26,177,,2023,85018,50114,26407
